module output,emotion,label
"That's why whenever you meet them, don't let go",Neutral,positive
 Girls love dancing boys so start dancing practice right now,Fun,positive
" As soon as you get a chance, let's play a strong Govinda song and dance",Enthusiasm,positive
 Befriend her best friend,Fun,positive
 Wish him the first on his birthday,Happiness,positive
Give him a gift that no one has given him till today,Enthusiasm,positive
Girls have a soft heart,Happiness,positive
 Roses are the best way to win that soft heart,Love,positive
Whenever you meet him give him a red rose,Happiness,positive
 Girls love boys who talk around them,Enthusiasm,positive
Try to be exactly what you want,Enthusiasm,positive
You eat what she says,Enthusiasm,positive
You go where she goes,Enthusiasm,positive
Because you are doing what he likes,Relief,positive
Never tell him your problems,Sadness,negative
No girl loves a boy who has a lot of problems in his life,Sadness,negative
That's why talk to him in such a way that you are the luckiest person in this world,Happiness,positive
Even if your name comes first among the poor,Sadness,negative
"If the girl studies in your class, find out in which subject she is weak",Enthusiasm,positive
Teach him your heart while teaching the subject,Love,positive
"If he is more intelligent than you, then you should ask him for help on any subject",Neutral,Neutral
"If the girl studies with you, then ask her for a study book",Neutral,Neutral
Don't write down names,Neutral,Neutral
Go outspoken if it comes to slippers,Worry,negative
"And if you say yes, send ten kilograms of Jalebi to our ashram",Happiness,positive
Remember your praise works like butter in a burning fire,Relief,positive
Spend a little for what you want,Neutral,Neutral
Give him a small gift every day,Enthusiasm,positive
 Now you will say that who will spend so much,Worry,negative
"Listen, people sell fine Chinese goods by the roadside today.",Neutral,Neutral
Buy and give,Neutral,Neutral
Now all you need is a girl in your world,Worry,positive
Propose a girl who looks a little better,Enthusiasm,positive
Yes or no,Anger,Neutral
"Yes, bidding is done and if it is not done, should we find someone else",Enthusiasm,positive
One in ten will say yes,Relief,positive
Seeing that his heart will melt,Love,positive
And for that put a sweet name in your phone,Love,positive
And one day that brother will ask for your hand for his sister,Happiness,positive
"Remember, a rakhi must be tied first.",Neutral,Neutral
" By swearing a Rakhi and asking for a hand, the work will be successful",Relief,positive
"Take a picture of his childhood from somewhere, which will surprise him",Surprise,positive
"Seeing her childhood in your hands, she would also like to see her future in your hands",Love,positive
"If you know that she goes to the temple every day every week, then you also reach",Enthusiasm,positive
His heart will ring in front of God,Enthusiasm,positive
If you are successful in your cause then send sweets to our ashram,Happiness,positive
And if not then nothing …,Worry,negative
Eat our minds,Anger,negative
Nowadays getting admission in college is more difficult than climbing the peaks of the Himalayas.,Worry,negative
There are some suggestions in our pretentious minds that are now in front of you.,Enthusiasm,positive
Read and teach this way to your friends,Enthusiasm,positive
Create ruckus in college,Hate,negative
Do not move until two or four news channels arrive,Enthusiasm,negative
"Remember that once this news has come in the newspaper or TV, then the principal of the college will come to your door to administer you",Relief,positive
Tell the media that the college had promised you admission,Neutral,Neutral
Go to the college principal's house with milk and curd etc.,Enthusiasm,positive
" Remember, one has to lose a lot to get something nowadays.",Worry,negative
This is a better way than the above remedy,Relief,positive
" Become a servant at the principal's house in the college where you need admission, get a job in the first month.",Enthusiasm,positive
 You have to sweep for two hours in a day and you have to do the dishes.,Worry,negative
Befriend the children of the college principal and other teachers,Enthusiasm,positive
And make them so mad in their friendship that they cannot spend a single moment without you,Enthusiasm,positive
"Interact with the Principal Mrs. If there is any outside work, go and do it",Enthusiasm,positive
"Remember, every man has a neck in his wife's hands.",Worry,negative
But not to do anything wrong which also embarrasses us,Worry,negative
 Go to college and form a gang,Enthusiasm,positive
Which should be named Dhongi Gang,Fun,positive
And sit on hunger strike wearing clothes like us,Enthusiasm,positive
Hunger strike should be named only,Fun,positive
Tell the principal whose disciple you are,Neutral,Neutral
"Hearing our name, the ground will slip under his feet.",Surprise,negative
Outcry will occur in the whole school,Worry,negative
 You are sure to enroll in a blink of an eye,Relief,positive
Investigate the principal's previous life,Neutral,Neutral
" Find out if he had a love affair with anyone, whom no one has a clue about",Enthusiasm,positive
" If you know some things, then tell the principal to give admission or else think",Neutral,Neutral
Grab the principal's leg,Empty,Neutral
Don't give up until they say yes to enroll,Enthusiasm,positive
"Even if he falls, stay in your work",Enthusiasm,positive
Get to know all the gurus in the family a few months in advance,Enthusiasm,positive
You should know by now how useful your marks are going to be,Worry,positive
"The more interaction you get, the easier you will be later",Relief,positive
Faaltu ke tareekon ko padhne aur apna bahumoolya samay vyarth karne se behtar hai ki aaj se hi kathin parishram karna aarambh kar do.,Worry,positive
"If you pay attention in studies from now on, you will never have to spread your hands in front of anyone.",Worry,positive
Got it baby WINK OR SMIRK,Fun,positive
"Once the hen falls into the trap, all the eggs belong to you",Relief,positive
Give a party to someone you are planning to ask for a loan,Happiness,positive
And praise,Happiness,positive
It is very important to do a little emotional torture,Relief,positive
"If emotional tyranny was successful, then you will get as much credit as you ask for",Relief,positive
 Always ask for a loan in front of four people,Empty,Neutral
"By doing this, the lender will never be able to refuse lending",Enthusiasm,positive
Try to ask for money on Saturday because the next day will be Sunday,Neutral,Neutral
 Call your uncle and take a long and wide amount,Worry,negative
 Make his heart melt so that he is forced to give you money,Enthusiasm,positive
" Do not just borrow, give it to you in money",Relief,positive
Grab his leg in front of the one he loves the most,Enthusiasm,positive
There will be no need to give back,Relief,positive
"Then as soon as the lenders believe in you, then kill a big hand.",Surprise,positive
" Now that the name is so good, the film had to be good too",Happiness,positive
Our disciples were able to get a movie ticket after standing in line for several hours.,Worry,positive
And finally when we got the ticket for the film we got a little relaxed,Relief,positive
And then a different kind of love story that makes any plateau heart melt,Love,positive
It was as if we were dreaming,Surprise,positive
"Corruption has crossed all its limits, even in our ashram, we have caught the cheating disciples in a red-handed scandal.",Hate,negative
We will declare this war against corruption by hanging those evil men in public.,Anger,negative
"Now when you are in trouble, how can we remain calm",Worry,negative
"For our lovely countrymen and devotees, in order to eradicate corruption we have decided to punish corruption in our way.",Anger,negative
We have made a list in which we have named the names of corrupt people,Neutral,neutral
 We will demand that all these corrupt people be handed over to us so that we can fry them in boiling oil and feed them to the fish,Anger,negative
"In this great work, all the great Baba devotees of the clan clan with us and ghost vampires, witches etc. will also participate.",Enthusiasm,positive
  Because we have formed an army of special ghosts and landmen to eradicate the many landslides within the country.,Enthusiasm,positive
 Who will speak to these evildoers in the same language,Hate,negative
We will start our movement from the Ashram of Patlok,Neutral,Neutral
Because the ashram of Mount Kailash is closed for repair nowadays,Worry,positive
Repair is likely to take several years,Worry,positive
A contract worth ten million has been awarded to repair our ashram,Enthusiasm,positive
 And children of artisans who built the Taj Mahal are engaged in its repair,Enthusiasm,positive
" As soon as the news of our movement reached these news channels, the whole team of them rushed to our ashram.",Enthusiasm,positive
"Like India TV, Moon TV and Till Tomorrow has camped",Neutral,Neutral
Our devotees who want to get rid of corruption from Kashmir to Kanyakumari and spread across the three worlds can join our movement.,Enthusiasm,positive
"For the information related to the movement, the doors of our Patal Lok Ashram are open for you.",Relief,positive
Let's go now,Neutral,Neutral
Be happy,Happiness,positive
"Do you not want to become rich, these are the powerful measures of Dhongibaba",Enthusiasm,positive
Adopt them and bath in a pile of money,Happiness,positive
 Sit at your nearest crossroads and tell our prediction and earn money from crores of rupees,Empty,Neutral
Do not make the mistake of betraying because everything is reported in our Dhondiwindos software.,Hate,negative
Change your name to Mobilewala Baba or Dafiwale Baba or some other Baba,Empty,Neutral
Then move around,Empty,Neutral
Ten percent of the offerings will be ours,Neutral,Neutral
Transfer all the money in your account by opening an account in our Dhondibaba Bank,Neutral,Neutral
You get four times your money back,Relief,positive
 Will get four times in this birth or next life,Relief,positive
The end digits of each lottery must be the same,Empty,Neutral
Buy a bumper lottery with ten percent of your income every month,Neutral,Neutral
"And wait, you will get lottery in years ",Boredom,negative
Sell eggs by standing near a bar,Empty,Neutral
Nothing comes from that waste in the eyes of the world,Worry,positive
Just think how cute you will look when you sell junk,Happiness,positive
" In a few days, you will be called the trash king",Happiness,positive
 Ask for money from all your known people.,Neutral,Neutral
 Remember the pot fills with drops,Relief,positive
That's why start asking for one rupee from today,Neutral,Neutral
 Open a PCO by taking a phone with unlimited synergy,Enthusiasm,positive
"Nowadays people have some business or not, so they spend money in talismans and rings like idiots.",Anger,negative
Take advantage of this opportunity soon and take this business,Enthusiasm,positive
Start selling our photos by putting them in ring talismans and pendants,Enthusiasm,positive
" So that when those dreams come true, then you can give them a little bit from your property.",Relief,positive
"Do you see the Hindi picture, is this the way",Neutral,Neutral
 This is a sign that now you will become money man,Relief,positive
Marry one of our rich devotees,Enthusiasm,positive
"You could not do anything before marriage, but we believe that you will be all right after marrying our rich devotee.",Relief,positive
 Take part in someone's swayamvara on TV,Neutral,Neutral
There is also a big benefit in being stupid,Fun,positive
Baby you will progress a lot,Happiness,positive
Start selling lottery,Neutral,Neutral
This is a lot of business,Empty,Neutral
We will tell them that henceforth buy lottery from your shop only,Neutral,Neutral
 Putting our share in our savings account,Relief,positive
Nobody earns more than today's leaders,Neutral,Neutral
Get every news here and earn as much as you want,Relief,positive
Take at least a thousand rupees for every news,Relief,positive
Our disciples will help you,Relief,positive
"When this coin is in the air for a second, the noise comes from inside that please heads",worry,positive
"We were all animals before, some people have become humans, some people have a longer process",hate,negative
Simple is the economics. The difference between rich and poor will increase as much as crime.,anger,Neutral
Lissen to your inner voice because outside is very noisy,relief,positive
People give abuses as if you are giving rewards to someone,surprise,positive
Everyone wants to change the country but no one wants to change themselves …,hate,negative
Girlfriend Everyone Wants But Daughter Nobody,anger,negative
We gladly give a hundred rupees for a cold drink of fifteen rupees in the theater and do not give even twenty rupees of money to the rickshaw puller.,anger,negative
"Common people have only two days of love for the country, one twenty-six Januari and the other fifteen August …",anger,negative
Every household in India has a doctor,relief,positive
"There was a time when fifty calls used to come on the birthday, now people do only one message, that too on Whatsapp group. ",hate,negative
We see more brand names than quality,worry,negative
Life is worth not in vain …,enthusiasm,positive
There are many things in life,neutral,Neutral
The court declares you boring in view of the bravado of situation,boredom,negative
Where are you my friends?,love,positive
Today i wish you a happy birthday,love,positive
My style is not like this with big hippies,fun,positive
I got full life to live but we got stuck in the cycle of The Bus Weekend and Long Weekend,worry,negative
Future is so bright that it is not visible,fun,positive
Being human has very scope,fun,positive
Entry will be late but great,happiness,positive
" As soon as you become friends with him, start spending money on him",worry,negative
Even if you have to borrow money from your friends,neutral/ sadness,neutral
Ask for money and pay it like a king,happiness,neutral
 You always talk about them with them,love,neutral
and make them feel special,love,positive
Like you are the most beautiful person in this world,happiness,positive
 And you are the prince of his dreams,happiness/love,positive
 Share at least english songs in the day,neutral,neutral
Even if you don't understand english songs,neutral/refief,neutral
 Still keep posting at least english songs during the day,neutral,neutral
 As soon as friendship advances and the girl gives you her number,love,positive
 Look awesome after that,happiness,positive
  Be the lion of things,enthusiasm,positive
 Whether you are a number one coward,worry,positive
 All the girls you see,neutral,positive
Whether they are on your friend list or not,neutral,positive
Poke each one,fun,neutral
  Rain shayari,love,neutral
 Who knows what poetry is winning hearts,love,neutral
 Girls of today consider the boys who put photos of British to be very clever and intelligent,fun/love,positive
So immediately remove your photo and put a photo of a white blogger,enthusiasm,neutral
 With whom does the girl get along with her friend,happiness,neutral
 One account for every girl,neutral,neutral
These days banging a girl does not work,worry,positive
 There is always a possibility of a breakup,sadness,neutral 
  And sent request to as many girls as possible from each work,happiness,positive
 You will get success somewhere,happiness,positive
  Always talk to them by looking in their eyes,love,neutral
 It impresses girls,happiness,positive
" Whenever you meet girls, smile a lot",happiness,positive
  Always sbe ready for their help,love,positive
Never forget his birthday and give him a beautiful gift or a rose,surprise/love,positive
 Never get mad at him,neutral,negative
 Always treat with love,love,positive
 Girls like shayari,love,positive
 That's why  often tell some poetry on their beauty,love,positive
" By doing this, she will fall madly in love with you",love,positive
 Always meet him in a nice dress,enthusiasm,positive
"If you are in the same class, then help them in study or in making notes",neutral,neutral
" By doing this, you will come closer to them.",happiness,positive
" Whenever you meet them, don't forget to shake hand",neutral,positive
 This will increase your bond,love,positive
" Therefore, exercise your body in a good manner and make your body attractive",happiness,positive
This will impress the girls as soon as they see you,happiness,positive
 If you have a cell phone and that girl also,happiness,neutral
 By doing this you will remain in their memory,love,positive
Always wish them friendship and valentines day and give them a cute gift,love,positive
Doing this is very important to get closer,love,positive
 Talk in a way that makes them feel that you are having a lot of fun talking to them,happiness,positive
always respect them,neutral,positive
This will make you a good boy in their eyes,happiness,positive
 Never be ashamed  infornt of girls,hate/worry,negative
 Maximum girl does not like shy boys,hate/worry/boredom,negative
so always meet Frankly,neutral,positive
 Always look smart to keep your personality perfect,happiness,positive
Girls only like nimble boys,neutral,neutral
"If the girl is fond of films, then talk to her about the film often",neutral,neutral
 She will be happy and impressed by sharing her feeling with you,love,positive
 Talk to girls on the same topic that they enjoy talking to,neutral,negative
She can talk to you for a long time,happiness,negative
 And your friendship can also turn into love,love/happiness,neutral
 Always show your good habits,neutral,neutral
 Doing this reflects manhood and girls love men only.,fun,negative
" Girls don't like sneaky boys, so leave them afraid and react to girls like a berserk",neutral,negative
" If the girl asks you for something,  must try to fulfill it",worry,neutral
 This will impress girls so much that you can't even imagine,love/happiness,positive
Be the first to wish him on his birthday,love,neutral 
 She will never forget you,happiness,positive
 Always meet him with some excuse,love,neutral
This will keep you in their eyes and memories often,love,positive
 Offer them for dinner or lunch,love/happiness,positive
 If they agree then order the dish of their choice in the hotel of their choice,happiness,positive
 She'll fall over you right away,love,neutral
Make friendship with girls first and then tell them your heart,neutral,neutral
" When they talk to you, listen to their words carefully by doing eye contact",love,positive
" If the girl is your class mate, then shake hands with her",happiness,neutral
 If you must Lovble Song and then target them played Antakhari with them,love,neutral
" If he asks you for a lift on the way, then you must give him",happiness,neutral
 And react as if you were going through a lot of important work but for that you gave up the lift by giving up the important work,neutral,negative
"With this, she will not be able to live without being influenced by you and you will know her easily.",happiness,positive
" Girls are very emotional, so always respect their emotion",neutral,positive
 If the girl is doing some heavy work then you must help them,neutral,neutral
 Hand work enhances love,love,positive
always kept joking with them but in a limit,neutral,negative
"If the girl is going on foot, then you must offer to deliver them on your bike.",neutral,negative
This is a great chance to make such an impression,neutral,positive
" If you love a girl very much, then write your feeling on pink color paper and give it to them",love,positive
That means write them love letters,love,neutral
 Maximum Girls Like Funny Boys,love,positive
 So you have to be funny,happiness,neutral
"Whenever you meet girls, do tell them a funny jokes",neutral,neutral
" If she goes for a morning walk, then you also go to speak with her",fun,neutral
" In the cool atmosphere of the morning, you can impress them by talking fun to them.",happiness,positive
" If they have a cell phone, then keep contacting them with any excuse",neutral,negative
 And keep sending the sms too,neutral,neutral
"If they are not feeling well, then go to meet them",love,neutral
 Do not forget to invite them on your birthday,happiness,neutral
" And when they come, it was waiting for you to say that now you have come, now I will cut the cake",relief,neutral
"Remember, you will also have to see awesome",worry,positive
 Is a testimony of saving hope that cannot be measured or stored anywhere,neutral,positive
Jesus Christ is the foundation of that hope,love,neutral
"Many years ago, Sister Packer and I went to Oxford University",neutral,neutral
Shows kindness to college archivist,neutral,positive
" That year, we found our ancestor's name John Packer",happiness,neutral
 The year after that we went back to oxford ,neutral,positive
Gave the whole of theology to the booklet of Christ's College,neutral,positive
 Maybe he thought we were not Christians,neutral,neutral
So he called the college pastor to get the book,neutral,neutral
" Before giving the clergy theology, I opened the Topical Guide and showed it a text",neutral,positive
 The very little of the pages was written by Jesus Christ,neutral,negative
This whole theology was gathered together on the Savior,neutral,positive
 Is the list which was written in the history of the world and the New Testament,neutral,neutral
The theology of Mormon is a testimony to Doctrine and Soventus and the Pearl of Great Price,neutral,positive
" Somehow, on this list, I told him",neutral,neutral
up and down,neutal,neutral
"Divine in the work of the Lord Jesus Christ, his birth of beautiful village",neutral,neutral
 His life his teaching his crucifixion,neutral,neutral
After sharing some of the Savior's teachings with the clergy,neutral,neutral
The atmosphere changed and he took us around the building with which things of the era of romance,neutral,negative
" Among these references written in the Topical Guide, it is from the theology of Mormon",neutral,positive
The Second Testimony of Jesus Christ We Discuss Christ We rejoice in Christ,neutral,positive
" We teach people about Christ, we prophesy about Christ and we",neutral,neutral
"According to his prediction, our children can know that they should ask to forgive their sinners.",neutral,neutral
 No one can reach father without me,neutral,neutral
  And in Mormon's theology he told,neutral,neutral
Understand from me all the men who will believe in my name,neutral,negative
 He will find light for infinity and he will become my son and daughters,neutral,neutral
" It serves many stills, out of which there are many things that can be done to the divine work of Christ",neutral,neutral
" Like the Savior, tells those who were in the past or born in a dying life",neutral,positive
 All of us have been liberated from the fall of man through the atonement of Jesus Christ,neutral,positive
What happened to Adam and Eve after eating the fruit they wished in the garden of Eden,neutral,negative
As stated in the Corinthians,neutral,positive
"And just as everyone dies in Adam, so all will be resurrected in Christ",neutral,positive
The theology of Mormon teaches that one should atone,neutral,positive
" Otherwise, human society cannot be saved from destruction",neutral,negative
We were told to follow his rule and accept the completion of the sentence by breaking his rule,neutral,negative
 Because everyone has sinned and is devoid of God's glory,neutral,negative
 But by His grace: by the redemption that is in Christ,neutral,neutral
 We do devotion to him and know his suffering for all of us and the suffering he has endured for each one of us.,neutral,positive
 Who will listen to his voice and the voice of his chosen servants,neutral,neutral
And will gain understanding in the selection of great sorrows and troubles,neutral,positive
The result of his sacrifice is to save us from sin,neutral,negative
 If he had not fulfilled the atonement there would be no salvation,neutral,negative
It would have been a world full of trouble to live if we had not been forgiven for our mistakes. ,sadness,negative
  If we never cleaned ourselves and proceeded,neutral,negative
 The mercy and beauty of Jesus Christ is not just for those who do evil or who do good,neutral,positive
 He is not able to do it but he promises eternal peace,neutral,positive
 Is for all those who will accept and follow him and follow his teachings,neutral,positive
 His mercy fills great misery,neutral,positive
 Recently I received a letter from a woman who had suffered great sorrows in her life,neutral,negative
 Very wrong which she did not know but was told that she was against,neutral,positive
 He told that he had suffered great bitterness.,neutral,negative
" In her anger, she started crying in her mind, someone has to be filled for this great mistake.",neutral,negative
 At this particular time of grief and questions,neutral,negative
" He wrote that the answer came immediately in his heart, someone has already filled it",neutral,positive
  If we don't know what the Savior's sacrifice can do for us,neutral,positive
 We can live in the past throughout our life whether we have done something wrong or done something bad to someone,neutral,neutral
 mistake that is made by mistake can be cleared,neutral,neutral
" If we understand his atonement, we will rapt great peace from the Lord Jesus Christ",neutral,positive
 His time of care on earth and his divine mission like our savior,neutral,positive
 The Church of Jesus Christ Around the World,neutral,neutral
 To spread the wisdom of life and the teachings of the Savior,neutral,positive
This great conference has been shown in countries with satellite in languages ??but it is also on the internet in all the countries where the church is,neutral,positive
We have more stakes than we have in our promotional service,neutral,negative
"And the church has more than a million members, this number shows that the Pattar mountains",neutral,positive
" Without being cut with hands, it keeps moving forward and will spread in the whole world",neutral,positive
But no matter how many members of the church will grow or how many million join us,neutral,neutral
" Our preachers reach in many parts and countries, no matter how many languages ??we have",neutral,neutral
Speak in the true success of the Gospel of Jesus Christ religious to individual members,neutral,neutral
"We can only be measured by power, we need the power of faith which all the disciples of Christ",neutral,positive
 Is a testimony of saving hope which cannot be measured or weighed,neutral,positive
Jesus Christ is the foundation of that hope,neutral,neutral
 We got the gospel of Jesus Christ man woman,neutral,neutral
 Every member of this church is personal,neutral,neutral
 Is a great part of the church,neutral,positive
Baptized to be one body by the same soul,neutral,neutral
 So there is not one body in the body but many,neutral,neutral
Every member serves the testimony of life and the teaching of Jesus Christ,neutral,positive
We are involved in a fight with the opponent,neutral,negative
" He became great, he started from the age of being a boy.",neutral,positive
Out of all the churches i want to join,neutral,positive
Joseph's faith and testimony in the Savior continued to grow as we should,neutral,positive
" By being one of the twelve angels, I bear witness to the Lord Jesus Christ",neutral,positive
 All human beings can survive because of Christ's atonement,neutral,neutral
 He operates the church,neutral,neutral
 He is no stranger to his servants,neutral,neutral
"While we are moving towards the life to come with faith, its spirit will be with us",neutral,positive
 It has been proposed that we Thomas Spencer Monsoon,neutral,neutral
 Prophet of the saints of the Church of Jesus Christ,neutral,positive
 Prophet and Support as Protector and Head,neutral,neutral
 And Dieter Friedrich Uchtdorf as second advisor to the first chairmanship,neutral,positive
 And these as members of the council,neutral,positive
Who agrees,neutral,neutral
Please reveal,neutral,neutral
 Look the same,neutral,neutral
 Headed advisors and twelve angels,neutral,neutral
 Support Prophets as Prophets and Replicants,neutral,neutral
  Who disagree if someone appears in the same way,neutral,neutral
 It has also been proposed that we Elders Carlos,neutral,neutral
 Amdo and William R. Walker who are members of the first Council of Saints,neutral,positive
 Liberate and thank them for their great service and appoint them honorable superiors,neutral,positive
Who thank us for their devotion and service,neutral,negative
It is proposed that we thank him for his great service to Math.,happiness,positive
 Chetria is freed from the powers,neutral,positive
 Support the Assistant General Chairpersons as they are appointed at present,neutral,neutral
Thank you brothers and sisters for your faith and prayers for us,neutral,positive
One and the other commandments are made upside down before making others happy before making God happy,neutral,negative
" How are you, the Prime Boyd Packer put me in the position of this tricky question when we",worry,negative
"Going along for his first assignment, like the new seventies, without questioning the situation",enthusiasm,positive
 I was taken aback,worry,negative
 One seventy he spoke further talking to the prophet,neutral,neutral
  Was on behalf of all the members but he was telling the words of the prophets to the members,surprise,neutral
Never forget how you are it is a powerful teaching,neutral,positive
One and the other commandments are made upside down before making others happy before making God happy,neutral,negative
 We forget how we are and yet we all have made that mistake because we are afraid of humans,worry,positive
 In Isaiah the Lord has given us warnings that you are not afraid of man's reproach nor his abuses,worry,negative
" In Lehi's dream, this rate started with other people getting a finger from the great and open building",neutral,negative
 Went to forget how he was and left the tree ashamed,sadness,negative
" People change the way they come under the influence of other people, if not conduct, by making one responsible",sadness,positive
" But when the human person kisses us with sin, it becomes a noose like written in the book of proverbs",worry,negative
This finesse moves cleverly towards our kindness so that God does not do what he likes or wants to do.,happiness,positive
" It is like a great hindrance for a weak believer, in the salvation, some of the principals should take this human rate with them to serve the mission",neutral,negative
And do not tell the wrong antics of his partner to his mission leader because he does not want to cheat on his teammates,worry,negative
 Conduction results from correctly memorizing the first and second commands,neutral,neutral
"When these preaching statements are known to be against God and not your partner, they should courageously shift their focus",relief,positive
How did he convince the Lord to lend the pages of theology to Martin Harris,surprise,neutral
Perhaps Joseph Martin wanted to make Harris thankful for his help,happiness,positive
We know that Joseph was very keen: to help protect the other witnesses from spreading false mutes against him.,happiness/love,negative
" Whatever be the reason for Joseph or whatever the reason, God did not forgive him and made him cry.",anger,negative
" How many times have you made a mistake and you have not committed yourself to a human being, so see you should not be afraid of a human being more than Pareshwar",neutral,negative
This sad experience helped Joseph to remember how he was forever,relief,positive
"  When humans try to get a good ranking from another person, they can lose faith in God",worry,negative
Thinking that a person can please God and at the same time,sadness,neutral
"May be on their side even if not obedient, but not a walking or true person or wants to serve two masters together",neutral,positive
"While it is courageous to face danger, the picture of true courage is winning at a human rate.",happiness,positive
" In the salvation, Daniel's prayer helped him to face the lion but who gave him the courage to dare King Darius.",surprise,neutral
 That kind of courage is the gift of the soul who fears God who has done his prayers,happiness/love,positive
"In confronting her husband, queen Mahasurus knew that doing this would threaten her own life.",worry,positive
" Courage is not the value of a virtue, but as Lewis  saw it",neutral,neutral
" At the time of examining all the qualities, dare is Pilate was full of mercy until the mercy of the person was not in danger",worry,negative
" Aaron made a golden cow to pacify Israel, the widow below Mount Sinai",neutral,neutral
 Many key leaders of the new Nian believed in,neutral,positive
That's why I don't write things that like the world,worry/hate,negative
 Moroni had great courage to know which way he was,happiness,positive
 If everyone in the past and present were like Moroni and the future would be like that,happiness,neutral
The power of hell is destroyed forever,happiness,neutral
 And as if the devil never had any right over the hearts of the Wash,neutral,negative
Prophets have been condemned throughout history,neutral,negative
In theology because,neutral,neutral
"  Criminals consider truth to be harsh, it hurts like doing it in two pieces",hate,negative
People feel bad about their truth.,empty,negative
 A mistake in the right that feels right like Corihor who finally agreed,neutral,negative
 Pogroms always ridicule prophets that are not new-age or fanatical,neutral,negative
 He convinces the church and pressures them to lower the standard of God,hate,positive
" In the words of Elder Neil Maxwell, on par with his own conduct",neutral,positive
 No more remorse,sadness,negative
 By pretending to know Christ the Church,empty/neutral,negative
 Even all kinds of evils were found in them and started doing SSIs for them.,worry,neutral
 Was known for being unreasonable but became sacred to those people,happiness,negative
 The same kind of work is being done in the last days,neutral,positive
Some members are not knowing that they are also trapped in the same trap when they want to make an impact.,worry,negative
"People adopt the tradition of fathers, which does not match the tradition of the gospel.",worry,neutral
 Speak and refine themselves,neutral,neutral
 Bishops request or want to reduce the recommended level of the temple,neutral,neutral
 It is not easy to be a bishop under such pressure,worry,negative
 Like the savior who cleaned the temple for the sanctity of,neutral,positive
 Today's bishop is told to save the level of the temple completely,neutral/sadness,neutral
 He was the savior who said I pity myself for my people,sadness,negative
 If my people will fulfill my promise and will not pollute this holy house,neutral,negative
 Our great salvation is always our Savior father,love,positive
 He loved and served his people but said I did not respect people,sadness/anger,negative
 Whom he taught wanted him to follow him,neutral,neutral
 When performing acts of kindness like covering the sick,neutral,negative
 The gift always came out of respect not to tell anyone,neutral,negative
 In part it was to hide the right that came after him.,neutral,neutral
Between Nephi Adhyay and Nephi Adhyay,neutral,negative
The savior must have used the title father almost in time,love,negative
 Clearly stating to the Nephites that it was he to present his father on,love,positive
 And from John chapter onwards the Savior must have spoken about the father in almost time,love,positive
In all cases he was his father's true disciple,love,positive
 He was absolutely true in presenting his father that knowing the savior is like knowing the father,love,positive
 The first and greatest commandment is to,neutral,neutral
 Do not want to respect humans,sadness/hate/anger,negative
Whatever you do in true deeds anonymously,happiness,neutral
